"","subject","prefix","browser","e","cu","me","lt"
"41","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_withoutcss-www-realtor-com-index-html",0,"chrome",56.31804,26.88888889,2096616.778,1004
"42","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_without-com-akismet-com-index-html",0,"chrome",33.790824,21.66666667,2093149,1207
"43","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_without-www-instagram-com-index-html",0,"chrome",66.8616,31.66666667,2092076.333,2626
"44","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-usps_withoutcss-www-usps-com-index-html",0,"chrome",55.237968,24.16666667,2119297.611,241.5
"45","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-sciencedirect_without-www-sciencedirect-com-index-html",0,"chrome",36.053832,18.38888889,2142623.389,409.5
"46","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitly-com_without-com-bitly-com-index-html",0,"chrome",76.325088,24.66666667,2126536.333,771.5
"47","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitnami-com_without-com-bitnami-com-index-html",0,"chrome",49.940472,27.66666667,2093508.833,253
"48","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-zillow_withoutcss-www-zillow-com-index-html",0,"chrome",82.342632,30.77777778,2123008.722,1040.5
"49","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-oracle_without-www-oracle-com-index-html",0,"chrome",53.48928,26.94444444,2141474.278,423
"50","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-vk_without-vk-com-index-html",0,"chrome",50.40336,31.33333333,2079328.333,393
"51","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-debian_with-index-html",1,"opera",39.92472,21.83333333,2356345.5,606.5
"52","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_css-www-realtor-com-index-html",1,"opera",45.95688,30.5,2352529.167,950.5
"53","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-badoo_withcss-badoo-com-index-html",1,"opera",69.7788,31.33333333,2345406,592.5
"54","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_with-com-akismet-com-index-html",1,"opera",34.04592,21.5,2340084.333,401.5
"55","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-w3schools_css-www-w3schools-com-index-html",1,"opera",66.14928,30.16666667,2367072,987
"56","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-sciencedirect_with-www-sciencedirect-com-index-html",1,"opera",32.4612,20.66666667,2357386,1002.5
"57","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-bing_with-www-bing-com-index-html",1,"opera",31.02984,21.16666667,2336081.667,141.5
"58","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_with-www-instagram-com-index-html",1,"opera",63.03096,32.5,2362864.833,1182
"59","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-biblegatewat_withcss-www-biblegatewat-com-index-html",1,"opera",32.56344,24.33333333,2364226.167,857
"60","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-google_with-www-google-com-index-html",1,"opera",37.41984,26.83333333,2328679.833,281.5
"61","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-vk_with-vk-com-index-html",1,"opera",50.8644,37.11111111,2417365,867.5
"62","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-rakuten_with-www-rakuten-co-jp-index-html",1,"opera",117.576,29.66666667,2390297.333,1948.5
"63","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-bakecaincontrii-com-www-bakecaincontrii-com-index-html",1,"opera",39.82248,22.33333333,2370282.167,211.5
"64","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-mobico_withcss-mobico-nl-producten-iphone-index-html",1,"opera",80.71848,34,2358108.5,1792
"65","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-jimdo-com_with-com-www-jimdo-com-index-html",1,"opera",35.32392,20.55555556,2322797.5,297
"66","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-usps_css-www-usps-com-index-html",1,"opera",51.42672,26.16666667,2362898.167,2338
"67","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-zillow_css-www-zillow-com-index-html",1,"opera",108.22104,32.66666667,2369219.5,3260.5
"68","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-amazon_with-www-amazon-com-index-html",1,"opera",85.626,29.16666667,2380545.833,3113.5
"69","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-tinder_css-tinder-com-index-html",1,"opera",37.21536,29.16666667,2382404.5,193.5
"70","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-ebay_with-www-ebay-com-index-html",1,"opera",67.37616,35.16666667,2360166,655.5
"71","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitly-com_with-com-bitly-com-index-html",1,"opera",75.09528,27.33333333,2365003.167,1310
"72","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitnami-com_with-com-bitnami-com-index-html",1,"opera",57.20328,28.83333333,2326317.5,592.5
"73","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_with-com-www-tradingview-com-index-html",1,"opera",93.44736,33.66666667,2421090.111,1896.5
"74","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-fedex_css-www-fedex-com-global-choose-location-html",1,"opera",49.38192,25.33333333,2359574.333,501.5
"75","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-oracle_with-www-oracle-com-index-html",1,"opera",48.3084,27.83333333,2355863.333,420.5
"76","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_without-com-www-tradingview-com-index-html",0,"opera",92.564196,36.16666667,2409402.333,351.5
"77","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-biblegatewat_withoutcss-www-biblegatewat-com-index-html",0,"opera",34.17834,25.83333333,2329904.667,413.5
"78","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-tinder_withoutcss-tinder-com-index-html",0,"opera",37.827456,29,2301430.5,530
"79","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-w3schools_withoutcss-www-w3schools-com-index-html",0,"opera",63.371268,28.33333333,2390538.833,121.5
"80","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-debian_without-index-html",0,"opera",41.579364,23.33333333,2343678.833,522.5
"81","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-ebay_without-www-ebay-com-index-html",0,"opera",54.788136,34.33333333,2377426.333,675.5
"82","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-badoo_withoutcss-badoo-com-index-html",0,"opera",75.603516,29,2336289,84.5
"83","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-rakuten_without-www-rakuten-co-jp-index-html",0,"opera",136.918944,33.5,2394981.333,823
"84","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-jimdo-com_without-com-www-jimdo-com-index-html",0,"opera",36.079992,24.66666667,2333835,162
"85","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-amazon_without-www-amazon-com-index-html",0,"opera",89.377644,33.16666667,2348334,56
"86","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-mobico_withoutcss-mobico-nl-producten-iphone-index-html",0,"opera",87.424596,34.83333333,2336591.833,451
"87","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-bing_without-www-bing-com-index-html",0,"opera",31.402956,22.16666667,2314720.167,1127.5
"88","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-bakecaincontrii_withoutcss-www-bakecaincontrii-com-index-html",0,"opera",39.523524,23.66666667,2344741.667,267.5
"89","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-google_without-www-google-com-index-html",0,"opera",40.34586,28.33333333,2328968.667,947.5
"90","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-fedex_withoutcss-www-fedex-com-global-choose-location-html",0,"opera",51.807168,26,2380159.833,120.5
"91","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_withoutcss-www-realtor-com-index-html",0,"opera",74.215824,31,2353235.167,1423.5
"92","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_without-com-akismet-com-index-html",0,"opera",33.66438,23,2342362.667,1111
"93","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_without-www-instagram-com-index-html",0,"opera",77.86494,33.5,2380652,2255.5
"94","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-usps_withoutcss-www-usps-com-index-html",0,"opera",52.372524,27,2380296.333,56.5
"95","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-sciencedirect_without-www-sciencedirect-com-index-html",0,"opera",32.944836,21.5,2357674.167,254.5
"96","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitly-com_without-com-bitly-com-index-html",0,"opera",71.543232,27.5,2386957,606
"97","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitnami-com_without-com-bitnami-com-index-html",0,"opera",54.73674,29.83333333,2366301.5,276.5
"98","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-zillow_withoutcss-www-zillow-com-index-html",0,"opera",95.802144,33.33333333,2388730.167,1175
"99","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-oracle_without-www-oracle-com-index-html",0,"opera",50.419476,27.5,2332708.5,370
"100","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-vk_without-vk-com-index-html",0,"opera",46.718964,41.5,2420885.778,116
"101","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-debian_with-index-html",1,"firefox",46.183428,21,2210355.333,642.5
"102","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_css-www-realtor-com-index-html",1,"firefox",52.039836,29.83333333,2326883.167,488
"103","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-badoo_withcss-badoo-com-index-html",1,"firefox",78.907392,28.83333333,2205796.333,890.5
"104","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_with-com-akismet-com-index-html",1,"firefox",38.683116,20.5,2207178.167,342.5
"105","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-w3schools_css-www-w3schools-com-index-html",1,"firefox",73.410588,26.66666667,2239465.167,1493.5
"106","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-sciencedirect_with-www-sciencedirect-com-index-html",1,"firefox",40.378392,19.83333333,2211997.667,602.5
"107","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-bing_with-www-bing-com-index-html",1,"firefox",64.677348,23.5,2180893.833,308
"108","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_with-www-instagram-com-index-html",1,"firefox",73.307844,28.66666667,2276326.333,1608.5
"109","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-biblegatewat_withcss-www-biblegatewat-com-index-html",1,"firefox",108.754524,26.83333333,2226227.167,923
"110","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-google_with-www-google-com-index-html",1,"firefox",54.608436,25.5,2229697.333,55
"111","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-vk_with-vk-com-index-html",1,"firefox",151.496028,40.44444444,2317460.222,911.5
"112","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-rakuten_with-www-rakuten-co-jp-index-html",1,"firefox",141.118884,29.5,2267647.5,2833.5
"113","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-bakecaincontrii-com-www-bakecaincontrii-com-index-html",1,"firefox",51.731604,23,2214171.833,697
"114","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-mobico_withcss-mobico-nl-producten-iphone-index-html",1,"firefox",93.188808,30,2244898,2654.5
"115","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-jimdo-com_with-com-www-jimdo-com-index-html",1,"firefox",38.374884,21.5,2228621.667,228
"116","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-usps_css-www-usps-com-index-html",1,"firefox",55.99548,24.33333333,2246148.5,1603.5
"117","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-zillow_css-www-zillow-com-index-html",1,"firefox",114.508188,32.33333333,2325192.667,1328
"118","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-amazon_with-www-amazon-com-index-html",1,"firefox",93.137436,30.5,2277113.5,4624
"119","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-tinder_css-tinder-com-index-html",1,"firefox",118.258344,28.83333333,2188887.167,485.5
"120","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-ebay_with-www-ebay-com-index-html",1,"firefox",98.942472,28.66666667,2245300.167,1889.5
"121","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitly-com_with-com-bitly-com-index-html",1,"firefox",85.328892,27.83333333,2234240.5,1721.5
"122","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitnami-com_with-com-bitnami-com-index-html",1,"firefox",71.304336,27,2234674,631.5
"123","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_with-com-www-tradingview-com-index-html",1,"firefox",125.34768,34.88888889,2299393.222,2806
"124","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-fedex_css-www-fedex-com-global-choose-location-html",1,"firefox",60.87582,21.83333333,2332897.333,563.5
"125","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-oracle_with-www-oracle-com-index-html",1,"firefox",69.763176,26.5,2216928,904.5
"126","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_without-com-www-tradingview-com-index-html",0,"firefox",132.20172,31.11111111,2292059.333,531.5
"127","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-biblegatewat_withoutcss-www-biblegatewat-com-index-html",0,"firefox",123.388272,24.83333333,2243059.5,404.5
"128","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-tinder_withoutcss-tinder-com-index-html",0,"firefox",47.562228,28.5,2169203.333,534.5
"129","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-w3schools_withoutcss-www-w3schools-com-index-html",0,"firefox",92.94642,24.33333333,2214286.5,129.5
"130","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-debian_without-index-html",0,"firefox",44.978976,21.66666667,2197917.167,649.5
"131","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-ebay_without-www-ebay-com-index-html",0,"firefox",78.105384,30.66666667,2236629.333,104
"132","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-badoo_withoutcss-badoo-com-index-html",0,"firefox",79.118424,29.66666667,2198723.833,86
"133","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-rakuten_without-www-rakuten-co-jp-index-html",0,"firefox",129.314556,29.66666667,2240252.333,995
"134","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-jimdo-com_without-com-www-jimdo-com-index-html",0,"firefox",109.66158,23.55555556,2201686.556,350.5
"135","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-amazon_without-www-amazon-com-index-html",0,"firefox",91.629468,27.66666667,2304143.833,36
"136","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-mobico_withoutcss-mobico-nl-producten-iphone-index-html",0,"firefox",88.742304,28.66666667,2226065.167,473
"137","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-bing_without-www-bing-com-index-html",0,"firefox",178.80156,22.16666667,2194716.833,1536.5
"138","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-bakecaincontrii_withoutcss-www-bakecaincontrii-com-index-html",0,"firefox",56.22372,22.5,2209054.667,383
"139","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-google_without-www-google-com-index-html",0,"firefox",41.180076,25.44444444,2176818.556,1880
"140","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-fedex_withoutcss-www-fedex-com-global-choose-location-html",0,"firefox",63.213696,20.83333333,2259449.167,206.5
"141","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_withoutcss-www-realtor-com-index-html",0,"firefox",57.034152,31.5,2194366.333,1126.5
"142","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_without-com-akismet-com-index-html",0,"firefox",107.686152,20.83333333,2174764.167,608.5
"143","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_without-www-instagram-com-index-html",0,"firefox",190.806084,27.94444444,2223541.667,1519
"144","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-usps_withoutcss-www-usps-com-index-html",0,"firefox",67.519116,23,2216594,380.5
"145","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-sciencedirect_without-www-sciencedirect-com-index-html",0,"firefox",122.932404,22.66666667,2210572.167,365
"146","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitly-com_without-com-bitly-com-index-html",0,"firefox",81.347112,25.66666667,2194762.333,1102.5
"147","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitnami-com_without-com-bitnami-com-index-html",0,"firefox",63.922824,28.66666667,2176186.5,217.5
"148","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-zillow_withoutcss-www-zillow-com-index-html",0,"firefox",128.40282,34.66666667,2232946.167,1692.5
"149","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-oracle_without-www-oracle-com-index-html",0,"firefox",122.729796,27.16666667,2226594.167,335
"150","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-vk_without-vk-com-index-html",0,"firefox",146.181672,36.88888889,2291690.222,322
"151","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-debian_with-index-html",1,"chrome",41.580072,22.16666667,2130277.5,530
"152","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-realtor_css-www-realtor-com-index-html",1,"chrome",53.18976,31.55555556,2168943.667,598
"153","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-badoo_withcss-badoo-com-index-html",1,"chrome",70.06728,31.16666667,2091230.167,961
"154","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-akismet-com_with-com-akismet-com-index-html",1,"chrome",37.130544,22.33333333,2115973.5,299.5
"155","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-w3schools_css-www-w3schools-com-index-html",1,"chrome",68.839824,25,2111534.278,2755
"156","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-sciencedirect_with-www-sciencedirect-com-index-html",1,"chrome",35.340504,20.33333333,2129564.667,1128
"157","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-bing_with-www-bing-com-index-html",1,"chrome",35.8008,21.66666667,2104829.833,276.5
"158","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-instagram_with-www-instagram-com-index-html",1,"chrome",64.594872,26.88888889,2110073,1044
"159","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-biblegatewat_withcss-www-biblegatewat-com-index-html",1,"chrome",34.419912,24.16666667,2102440.167,1243.5
"160","http-192-168-40-192-8000-downloads-green_lab_websites-qiuyang-google_with-www-google-com-index-html",1,"chrome",42.142656,23.33333333,2091964.444,133
"161","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-vk_with-vk-com-index-html",1,"chrome",56.309544,31.88888889,2151413.889,912.5
"162","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-rakuten_with-www-rakuten-co-jp-index-html",1,"chrome",108.732144,32.16666667,2156197,2721
"163","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-bakecaincontrii-com-www-bakecaincontrii-com-index-html",1,"chrome",45.825024,22,2102965,457
"164","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-mobico_withcss-mobico-nl-producten-iphone-index-html",1,"chrome",97.94076,32.16666667,2110147,1497
"165","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-jimdo-com_with-com-www-jimdo-com-index-html",1,"chrome",36.977112,19,2080222,645.5
"166","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-usps_css-www-usps-com-index-html",1,"chrome",61.833096,22.16666667,2108787.833,1646
"167","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-zillow_css-www-zillow-com-index-html",1,"chrome",77.22744,31.66666667,2108423.667,2146
"168","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-amazon_with-www-amazon-com-index-html",1,"chrome",92.161488,32.5,2105549.833,4165
"169","http-192-168-40-192-8000-downloads-green_lab_websites-zengyi-tinder_css-tinder-com-index-html",1,"chrome",42.091512,27.83333333,2093729,410
"170","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-ebay_with-www-ebay-com-index-html",1,"chrome",68.584104,32.5,2131649,531
"171","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitly-com_with-com-bitly-com-index-html",1,"chrome",80.602944,27,2141357.667,914.5
"172","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-bitnami-com_with-com-bitnami-com-index-html",1,"chrome",54.928656,25.22222222,2109596.444,309.5
"173","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_with-com-www-tradingview-com-index-html",1,"chrome",103.720032,27.77777778,2159766.111,2284
"174","http-192-168-40-192-8000-downloads-green_lab_websites-bogdan-fedex_css-www-fedex-com-global-choose-location-html",1,"chrome",72.471048,24.17777778,2214472.778,2077
"175","http-192-168-40-192-8000-downloads-green_lab_websites-qyy-oracle_with-www-oracle-com-index-html",1,"chrome",52.627176,26.5,2117893.5,596
"176","http-192-168-40-192-8000-downloads-green_lab_websites-dianlin-www-tradingview_without-com-www-tradingview-com-index-html",0,"chrome",103.859364,28.33333333,2144093.333,279.5
